2025-07-08 19:21:22,262 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 291.60, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,294 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 279.00, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,311 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 256.50, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,328 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 247.50, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,348 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 261.00, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,379 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 247.50, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,395 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 10.80, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,684 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,704 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,727 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,749 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,761 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,793 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 13.50, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:22,809 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,025 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 79.20, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,065 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 58.50, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,089 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 67.50, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,111 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 72.00, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,135 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 54.00, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,156 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 49.50, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,161 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,399 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 28.80, 全体平均勤務人数 = 24.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,425 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 31.50, 全体平均勤務人数 = 24.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,445 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 22.50, 全体平均勤務人数 = 24.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,462 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 31.50, 全体平均勤務人数 = 24.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,489 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 31.50, 全体平均勤務人数 = 24.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,514 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 27.00, 全体平均勤務人数 = 24.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,535 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,761 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 4.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,761 - WARNING - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) は勤務実績が著しく少ないため、必要人数が実態と乖離する可能性があります。
2025-07-08 19:21:23,789 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 4.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,789 - WARNING - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) は勤務実績が著しく少ないため、必要人数が実態と乖離する可能性があります。
2025-07-08 19:21:23,809 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 4.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,835 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 4.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,835 - WARNING - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) は勤務実績が著しく少ないため、必要人数が実態と乖離する可能性があります。
2025-07-08 19:21:23,869 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 4.80, 適用中の統計手法 = '中央値'
