date,total_staff,leave_applicants_count,non_leave_staff,leave_ratio
2025-04-01,15,6,9,0.4
2025-04-02,11,10,1,0.9090909090909091
2025-04-03,10,11,-1,1.1
2025-04-04,12,8,4,0.6666666666666666
2025-04-05,12,9,3,0.75
2025-04-07,14,7,7,0.5
2025-04-08,14,7,7,0.5
2025-04-09,11,10,1,0.9090909090909091
2025-04-10,12,9,3,0.75
2025-04-11,12,9,3,0.75
2025-04-12,12,9,3,0.75
2025-04-14,13,8,5,0.6153846153846154
2025-04-15,14,7,7,0.5
2025-04-16,10,11,-1,1.1
2025-04-17,12,9,3,0.75
2025-04-18,12,9,3,0.75
2025-04-19,13,8,5,0.6153846153846154
2025-04-21,12,9,3,0.75
2025-04-22,14,7,7,0.5
2025-04-23,11,10,1,0.9090909090909091
2025-04-24,11,10,1,0.9090909090909091
2025-04-25,12,8,4,0.6666666666666666
2025-04-26,14,7,7,0.5
2025-04-28,12,8,4,0.6666666666666666
2025-04-29,13,7,6,0.5384615384615384
2025-04-30,13,8,5,0.6153846153846154
