date,leave_type,total_leave_days,num_days_in_period_unit,avg_leave_days_per_day
2025-04-01,希望休,6,1,6.0
2025-04-02,希望休,10,1,10.0
2025-04-03,希望休,11,1,11.0
2025-04-04,希望休,8,1,8.0
2025-04-05,希望休,7,1,7.0
2025-04-05,有給,2,1,2.0
2025-04-06,希望休,1,1,1.0
2025-04-07,希望休,7,1,7.0
2025-04-08,希望休,7,1,7.0
2025-04-09,希望休,8,1,8.0
2025-04-09,有給,2,1,2.0
2025-04-10,希望休,9,1,9.0
2025-04-11,希望休,9,1,9.0
2025-04-12,希望休,8,1,8.0
2025-04-12,有給,1,1,1.0
2025-04-14,希望休,8,1,8.0
2025-04-15,希望休,6,1,6.0
2025-04-15,有給,1,1,1.0
2025-04-16,希望休,10,1,10.0
2025-04-16,有給,1,1,1.0
2025-04-17,希望休,8,1,8.0
2025-04-17,有給,1,1,1.0
2025-04-18,希望休,9,1,9.0
2025-04-19,希望休,7,1,7.0
2025-04-19,有給,1,1,1.0
2025-04-21,希望休,9,1,9.0
2025-04-22,希望休,6,1,6.0
2025-04-22,有給,1,1,1.0
2025-04-23,希望休,10,1,10.0
2025-04-24,希望休,10,1,10.0
2025-04-25,希望休,7,1,7.0
2025-04-25,有給,1,1,1.0
2025-04-26,希望休,7,1,7.0
2025-04-27,希望休,1,1,1.0
2025-04-28,希望休,8,1,8.0
2025-04-29,希望休,6,1,6.0
2025-04-29,有給,1,1,1.0
2025-04-30,希望休,8,1,8.0
