TaskID,Title,Priority,Hours,Dependencies,Deliverables
S1-T1,現在のNeedファイル完全バックアップ,CRITICAL,0.5,,"need_per_date_slot_role_*.parquet の完全コピー, バックアップ日時とファイル整合性確認レポート"
S1-T2,ロールバック手順書作成,HIGH,1.0,S1-T1,"ロールバック手順書 (ROLLBACK_PROCEDURES.md), リストア検証スクリプト"
S1-T3,現在システムの動作ベースライン記録,HIGH,1.5,S1-T1,"current_baseline_analysis.json, ベースライン比較用レポートテンプレート"
S2-T1,実配置データ分析と特性把握,HIGH,2.0,S1-T3,"実配置データ分析レポート, 職種別・雇用形態別配置パターン分析"
S2-T2,実配置ベースNeed算出アルゴリズム設計,HIGH,3.0,S2-T1,"ActualBasedNeedCalculator クラス設計, アルゴリズム仕様書とフローチャート"
S2-T3,業界標準整合性チェック機構設計,MEDIUM,2.5,S2-T2,"IndustryStandardValidator クラス設計, 業界標準データベース構築"
S3-T1,介護系職種調整係数の算出,CRITICAL,2.0,S2-T1,"介護系職種別調整係数テーブル, 係数算出根拠レポート"
S3-T2,全職種調整係数マトリクス作成,HIGH,3.5,"S3-T1, S2-T2","role_adjustment_matrix.json, 職種別係数適用ルール仕様"
S3-T3,動的調整機構の実装,MEDIUM,4.0,S3-T2,"DynamicAdjustmentEngine クラス, 調整係数更新ログ機能"
S4-T1,ImprovedNeedCalculator 核心クラス実装,CRITICAL,6.0,"S2-T2, S3-T2","improved_need_calculator.py, ユニットテストスイート"
S4-T2,新Needファイル生成システム構築,CRITICAL,4.0,S4-T1,"new_need_file_generator.py, 生成済み新Needファイル一式"
S4-T3,既存システムとの統合テスト環境構築,HIGH,3.0,S4-T2,"integration_test_environment/, 統合テスト実行スクリプト"
S5-T1,新Need積算結果の現実性検証,CRITICAL,2.5,S4-T3,"need_improvement_verification_report.md, 修正前後比較チャート"
S5-T2,過不足分析システム動作確認,HIGH,2.0,S5-T1,"新Need適用後の組織分析レポート, 動作確認チェックリスト"
S5-T3,現場フィードバック収集とレビュー,MEDIUM,1.0,S5-T2,"現場フィードバックレポート, 追加改善提案リスト"
S6-T1,本番環境への新Needファイル適用,CRITICAL,1.0,S5-T3,"本番適用完了確認書, 適用後動作確認レポート"
S6-T2,Need積算品質監視システム構築,MEDIUM,3.0,S6-T1,"need_quality_monitor.py, 品質監視ダッシュボード"
S6-T3,運用・保守手順書の整備,MEDIUM,2.0,S6-T2,"NEED_SYSTEM_OPERATION_GUIDE.md, トラブルシューティングマニュアル"
